data_rate_Sa,f_avg,delta1,log10_nmse
1000,41.6667,-4.3333,-3.359221
1000,18.7500,-6.0000,-1.747279
1000,19.7917,-5.0000,-1.747223
1000,21.8750,-8.0000,-1.747365
1000,29.1667,-1.0000,-3.356647
1000,37.5000,3.3333,-0.859894
1000,45.8333,5.3333,-1.826104
1000,8.3333,3.3333,-1.747271
1000,47.9167,4.0000,-1.203155
1000,15.6250,-1.6667,-3.344341
1000,5.2083,-5.3333,-1.747457
1000,12.5000,-3.0000,-1.747197
1000,42.7083,8.0000,-1.918830
1000,43.7500,0.0000,-1.857657
1000,33.3333,3.6667,-0.366496
1000,17.7083,8.0000,-1.319398
1000,41.6667,3.3333,-0.888685
1000,32.2917,4.3333,-0.800956
1000,45.8333,-3.6667,-3.351843
1000,23.9583,-3.0000,-3.357651
1000,17.7083,-3.0000,-3.351612
1000,19.7917,-8.0000,-1.747291
1000,15.6250,-3.6667,-3.370601
1000,38.5417,-5.3333,-3.353321
1000,38.5417,6.0000,-0.036541
1000,27.0833,-8.0000,-1.747487
1000,13.5417,4.6667,-0.683523
1000,1.0417,4.6667,-1.747284
1000,25.0000,3.0000,-0.533416
1000,3.1250,4.0000,-1.747157
1000,10.4167,5.0000,-1.747220
1000,2.0833,-1.3333,-1.985427
1000,33.3333,-7.3333,-3.354845
1000,3.1250,-6.3333,-1.747303
1000,23.9583,2.6667,-0.738362
1000,13.5417,5.6667,-1.747406
1000,40.6250,-0.3333,-3.364173
1000,30.2083,-5.0000,-3.353864
1000,13.5417,5.3333,-1.747488
1000,7.2917,1.6667,-1.615282
1000,33.3333,3.3333,-0.802638
1000,5.2083,-1.0000,-1.636183
1000,17.7083,-0.3333,-3.358856
1000,35.4167,4.0000,-1.257625
1000,9.3750,2.3333,-0.929174
1000,3.1250,-5.0000,-1.747276
1000,25.0000,6.6667,-0.671988
1000,32.2917,5.6667,-1.223740
1000,5.2083,5.0000,-1.747241
1000,44.7917,-8.0000,-3.354277
1000,4.1667,6.6667,-1.747365
1000,39.5833,6.3333,-1.261716
1000,12.5000,-2.3333,-2.983042
1000,14.5833,-2.6667,-3.362250
1000,34.3750,-1.3333,-3.350763
1000,48.9583,-1.6667,-3.361279
1000,42.7083,-6.6667,-3.340134
1000,9.3750,0.6667,-0.820085
1000,43.7500,6.0000,-1.756631
1000,46.8750,-6.3333,-3.339505
1000,17.7083,3.0000,-0.967157
1000,12.5000,2.6667,-1.456480
1000,16.6667,0.3333,-0.502915
1000,30.2083,-0.3333,-3.349505
1000,44.7917,6.0000,-1.857485
1000,32.2917,-8.0000,-1.747456
1000,15.6250,-4.6667,-1.747265
1000,27.0833,-7.0000,-1.747363
1000,44.7917,-4.0000,-3.356662
1000,14.5833,-0.3333,-3.366638
1000,38.5417,4.3333,-1.914348
1000,42.7083,3.3333,-0.917279
1000,34.3750,-0.6667,-3.357842
1000,47.9167,4.3333,-2.152268
1000,2.0833,-3.0000,-1.140149
1000,4.1667,-3.3333,-1.762944
1000,12.5000,8.0000,-1.747388
1000,50.0000,1.6667,-0.868225
1000,12.5000,3.6667,-0.772312
1000,7.2917,-4.3333,-1.747318
1000,42.7083,-3.3333,-3.351270
1000,34.3750,-6.6667,-3.370106
1000,43.7500,3.6667,-0.953529
