gamma21,f_avg,delta1,log10_nmse
0.01,41.8367,0.6154,-0.171807
100,24.4898,-5.5385,-2.538688
0.1,5.1020,6.7692,-1.756211
100,33.6735,-0.2051,-2.366228
0.01,3.0612,1.0256,-1.275349
0.01,4.0816,3.8974,-1.760915
100,50.0000,-5.5385,-2.287771
0.01,39.7959,6.3590,-2.625027
0.01,5.1020,4.3077,-1.748251
100,38.7755,7.1795,-2.403983
1,30.6122,-3.4872,-2.682213
1,43.8776,-6.7692,-1.569685
10,8.1633,4.3077,-1.751330
0.01,20.4082,0.2051,-0.562776
10,2.0408,-1.0256,-1.751582
10,20.4082,-7.1795,-1.771672
0.01,18.3673,7.1795,-2.592678
10,22.4490,-1.4359,-3.226641
1,39.7959,6.3590,-1.239259
100,25.5102,3.4872,-2.197482
0.1,47.9592,-6.3590,-2.803887
0.1,44.8980,1.8462,-0.742667
100,47.9592,-7.5897,-1.765511
100,9.1837,-1.0256,-2.297680
0.1,0.0000,0.6154,-0.004190
10,50.0000,-1.4359,-2.946702
0.1,50.0000,-3.4872,-2.966255
10,30.6122,5.5385,-1.753711
1,36.7347,-3.0769,-3.269401
0.01,25.5102,-1.4359,-2.309427
1,46.9388,2.2564,-0.474055
1,12.2449,7.1795,-1.771671
0.01,46.9388,3.0769,-0.601119
1,47.9592,7.5897,-2.205733
10,20.4082,6.3590,-1.766494
100,28.5714,-2.2564,-2.503887
0.1,40.8163,-4.3077,-2.801216
1,2.0408,-5.9487,-1.771292
0.1,4.0816,-6.3590,-1.766495
0.1,23.4694,-3.8974,-3.226879
100,21.4286,-5.5385,-2.506242
1,48.9796,5.5385,-2.236188
0.01,40.8163,-2.2564,-2.865358
10,36.7347,7.1795,-1.771670
100,1.0204,5.5385,-1.774349
100,11.2245,8.0000,-1.758643
0.01,5.1020,-5.9487,-1.767097
0.01,24.4898,4.7179,-2.426771
0.1,42.8571,-5.9487,-2.251830
10,9.1837,7.1795,-1.771672
1,3.0612,-5.9487,-1.771293
