gamma21,f_avg,delta1,log10_nmse
2.2,18.5714,2.6667,-0.958479
0.2,12.4490,2.2564,-1.779443
0.2,16.9388,-1.0256,-2.768965
1.4,16.9388,1.8462,1.125556
1.0,18.1633,-1.0256,-2.794147
0.2,10.0000,5.1282,-1.780471
0.6,19.3878,5.9487,-1.625097
0.6,15.7143,1.4359,0.607806
2.2,11.2245,8.0000,-1.772072
0.2,12.0408,-4.7179,-1.783809
0.6,21.0204,5.5385,-1.713051
1.0,27.5510,-0.2051,-3.203326
1.4,14.4898,-1.4359,-3.331961
1.4,12.4490,2.6667,-1.689181
1.0,12.8571,1.4359,-0.118525
0.2,15.7143,1.4359,-0.102478
1.0,13.2653,-0.6154,-2.228628
1.0,28.7755,-1.0256,-3.014562
1.0,30.0000,-3.0769,-3.318241
0.2,14.0816,-7.5897,-1.778969
0.6,18.9796,1.0256,0.321038
0.2,21.0204,6.3590,-1.796441
0.6,24.2857,-1.0256,-3.316701
0.6,28.3673,-1.0256,-3.267258
0.6,18.9796,0.6154,-0.047885
1.4,17.7551,0.2051,-2.155258
1.4,26.7347,6.7692,-0.892845
1.8,27.1429,-2.6667,-3.355994
0.2,27.5510,-4.7179,-3.183264
1.8,26.7347,-4.3077,-3.366777
0.2,21.0204,-4.3077,-3.303677
1.0,11.6327,-5.5385,-1.767053
1.8,16.9388,-0.6154,-3.356938
2.2,14.8980,-5.5385,-1.767046
0.6,27.5510,-5.9487,-3.204398
1.4,10.0000,-1.8462,-0.943744
2.2,23.8776,-5.9487,-1.784400
0.2,21.0204,3.4872,-0.265385
2.2,15.7143,-3.4872,-1.782604
0.6,21.0204,0.6154,0.026965
2.2,15.3061,2.6667,-1.822808
1.0,17.3469,-2.2564,-3.274714
2.2,20.2041,0.6154,-1.141554
0.6,18.9796,-6.7692,-1.769605
1.4,14.8980,-2.6667,-3.321647
0.2,11.6327,-6.3590,-1.779922
2.2,15.7143,-3.8974,-1.780419
1.4,25.1020,-5.9487,-1.784400
1.0,21.0204,3.8974,-1.280500
1.0,17.7551,2.6667,-0.236488
1.8,18.1633,1.8462,0.038838
2.2,16.5306,6.7692,-1.769606
0.2,19.3878,5.9487,-1.927343
0.6,26.3265,-1.4359,-3.360073
1.4,15.3061,-1.8462,-3.354425
1.8,21.4286,3.4872,-1.007806
0.6,20.2041,-0.2051,-3.346090
1.0,23.0612,3.4872,-0.719670
1.0,29.1837,8.0000,-1.984414
1.8,11.2245,-5.5385,-1.767053
0.2,14.0816,-4.3077,-1.764599
1.4,22.6531,5.9487,-1.467228
0.6,21.0204,4.3077,-1.959019
0.6,13.2653,4.7179,-1.522890
1.4,20.6122,-2.2564,-3.364234
1.4,27.1429,-3.0769,-3.353847
2.2,24.2857,-3.8974,-3.368071
1.0,15.7143,-5.1282,-1.780472
2.2,21.0204,1.0256,-0.451614
0.6,10.0000,-6.3590,-1.779922
0.6,20.2041,-6.3590,-1.779921
0.2,15.3061,-2.6667,-3.302911
1.4,19.3878,1.8462,-0.239296
1.4,15.3061,-2.2564,-3.355897
1.4,13.2653,2.2564,-0.232597
1.8,12.4490,5.9487,-1.784401
1.8,17.7551,4.3077,-1.775709
1.8,25.1020,5.9487,-0.663080
1.0,26.3265,0.2051,-0.579030
1.4,27.5510,7.1795,-1.351262
