F_AVG,DELTA1,DELTA2,DELTA_F,NMSE,log10_NMSE,COMB_QI,COMB_PULSING,COMB_MOD_RATIO
20.0000,-6.1172,-12.0586,3.3472,9.355306e-04,-3.0289,0,0,0.000001
20.0000,-6.1172,-12.0586,3.5564,9.972728e-04,-3.0012,0,0,0.000001
20.0000,-6.1172,-12.0586,3.7656,1.062838e-03,-2.9735,0,0,0.000001
20.0000,-6.1172,-12.0586,3.9748,1.132423e-03,-2.9460,0,0,0.000001
20.0000,-6.1172,-12.0586,4.1840,1.206157e-03,-2.9186,0,0,0.000001
20.0000,-6.1172,-12.0586,4.3932,1.283909e-03,-2.8915,0,0,0.000001
20.0000,-6.1172,-12.0586,4.6024,1.365647e-03,-2.8647,0,0,0.000001
20.0000,-6.1172,-12.0586,4.8116,1.451656e-03,-2.8381,0,0,0.000001
20.0000,-6.1172,-12.0586,5.0208,1.541632e-03,-2.8120,0,0,0.000001
20.0000,-5.9080,-11.9540,0.0000,2.034871e-02,-1.6915,0,0,0.000001
20.0000,-5.9080,-11.9540,0.2092,3.357588e-04,-3.4740,0,0,0.000001
20.0000,-5.9080,-11.9540,0.4184,3.507195e-04,-3.4550,0,0,0.000001
20.0000,-5.9080,-11.9540,0.6276,3.650310e-04,-3.4377,0,0,0.000001
20.0000,-5.9080,-11.9540,0.8368,3.847083e-04,-3.4149,0,0,0.000001
20.0000,-5.9080,-11.9540,1.0460,4.070499e-04,-3.3904,0,0,0.000001
20.0000,-5.9080,-11.9540,1.2552,4.321699e-04,-3.3643,0,0,0.000001
20.0000,-5.9080,-11.9540,1.4644,4.601523e-04,-3.3371,0,0,0.000001
20.0000,-5.9080,-11.9540,1.6736,4.916447e-04,-3.3083,0,0,0.000001
20.0000,-5.9080,-11.9540,1.8828,5.251044e-04,-3.2798,0,0,0.000001
20.0000,-5.9080,-11.9540,2.0920,5.620410e-04,-3.2502,0,0,0.000001
20.0000,-5.9080,-11.9540,2.3012,6.022272e-04,-3.2202,0,0,0.000001
20.0000,-5.9080,-11.9540,2.5104,6.455193e-04,-3.1901,0,0,0.000001
20.0000,-5.9080,-11.9540,2.7196,6.921930e-04,-3.1598,0,0,0.000001
20.0000,-5.9080,-11.9540,2.9288,7.424135e-04,-3.1294,0,0,0.000001
20.0000,-5.9080,-11.9540,3.1380,7.962598e-04,-3.0989,0,0,0.000001
20.0000,-5.9080,-11.9540,3.3472,8.538857e-04,-3.0686,0,0,0.000001
20.0000,-5.9080,-11.9540,3.5564,9.152648e-04,-3.0385,0,0,0.000001
20.0000,-5.9080,-11.9540,3.7656,9.805533e-04,-3.0085,0,0,0.000001
20.0000,-5.9080,-11.9540,3.9748,1.049794e-03,-2.9789,0,0,0.000001
20.0000,-5.9080,-11.9540,4.1840,1.123061e-03,-2.9496,0,0,0.000001
20.0000,-5.9080,-11.9540,4.3932,1.200356e-03,-2.9207,0,0,0.000001
20.0000,-5.9080,-11.9540,4.6024,1.281734e-03,-2.8922,0,0,0.000001
20.0000,-5.9080,-11.9540,4.8116,1.367219e-03,-2.8642,0,0,0.000002
20.0000,-5.9080,-11.9540,5.0208,1.456736e-03,-2.8366,0,0,0.000002
20.0000,-5.6988,-11.8494,0.0000,2.098160e-02,-1.6782,0,0,0.000001
20.0000,-5.6988,-11.8494,0.2092,6.093201e-04,-3.2152,0,0,0.000001
20.0000,-5.6988,-11.8494,0.4184,6.303448e-04,-3.2004,0,0,0.000001
20.0000,-5.6988,-11.8494,0.6276,6.402198e-04,-3.1937,0,0,0.000001
20.0000,-5.6988,-11.8494,0.8368,6.624327e-04,-3.1789,0,0,0.000001
20.0000,-5.6988,-11.8494,1.0460,6.803038e-04,-3.1673,0,0,0.000001
