F_AVG,DELTA1,DELTA2,NMSE,log10_NMSE,COMB_QI,COMB_PULSING,COMB_MOD_RATIO
0.6276,4.9704,-6.5148,2.096157e-02,-1.6786,0,0,6.079799
0.6276,5.1796,-6.4102,2.054959e-02,-1.6872,0,0,6.024643
0.6276,5.3888,-6.3056,2.029822e-02,-1.6925,0,0,6.052743
0.6276,5.5980,-6.2010,2.092137e-02,-1.6794,0,0,6.057125
0.6276,5.8072,-6.0964,2.059961e-02,-1.6861,0,0,6.019439
0.6276,6.0164,-5.9918,2.032433e-02,-1.6920,0,0,6.077983
0.6276,6.2256,-5.8872,2.095034e-02,-1.6788,0,0,6.013817
0.6276,6.4348,-5.7826,2.053645e-02,-1.6875,0,0,6.065686
0.6276,6.6440,-5.6780,2.027681e-02,-1.6930,0,0,6.039261
0.6276,6.8532,-5.5734,2.091289e-02,-1.6796,0,0,6.031571
0.6276,7.0624,-5.4688,2.058654e-02,-1.6864,0,0,6.069927
0.6276,7.2716,-5.3642,2.030364e-02,-1.6924,0,0,6.009932
0.6276,7.4808,-5.2596,2.094030e-02,-1.6790,0,0,6.075604
0.6276,7.6900,-5.1550,2.053171e-02,-1.6876,0,0,6.022202
0.6276,7.8992,-5.0504,2.026432e-02,-1.6933,0,0,6.048816
0.8368,-8.0000,-13.0000,2.047947e-02,-1.6887,0,0,6.037545
0.8368,-7.7908,-12.8954,2.027858e-02,-1.6930,0,0,6.052512
0.8368,-7.5816,-12.7908,2.097379e-02,-1.6783,0,0,6.038748
0.8368,-7.3724,-12.6862,2.051336e-02,-1.6880,0,0,6.047643
0.8368,-7.1632,-12.5816,2.033040e-02,-1.6919,0,0,6.046837
0.8368,-6.9540,-12.4770,2.098169e-02,-1.6782,0,0,6.038784
0.8368,-6.7448,-12.3724,2.049350e-02,-1.6884,0,0,6.054479
0.8368,-6.5356,-12.2678,2.028894e-02,-1.6927,0,0,6.035202
0.8368,-6.3264,-12.1632,2.097070e-02,-1.6784,0,0,6.053429
0.8368,-6.1172,-12.0586,2.053517e-02,-1.6875,0,0,6.042003
0.8368,-5.9080,-11.9540,2.034870e-02,-1.6915,0,0,6.042994
0.8368,-5.6988,-11.8494,2.098132e-02,-1.6782,0,0,6.054050
0.8368,-5.4896,-11.7448,2.051420e-02,-1.6879,0,0,6.033021
0.8368,-5.2804,-11.6402,2.030803e-02,-1.6923,0,0,6.059673
0.8368,-5.0712,-11.5356,2.096850e-02,-1.6784,0,0,6.035132
0.8368,-4.8620,-11.4310,2.056775e-02,-1.6868,0,0,6.051116
0.8368,-4.6528,-11.3264,2.038189e-02,-1.6908,0,0,6.049765
0.8368,-4.4436,-11.2218,2.098354e-02,-1.6781,0,0,6.034517
0.8368,-4.2344,-11.1172,2.054813e-02,-1.6872,0,0,6.064659
0.8368,-4.0252,-11.0126,2.034573e-02,-1.6915,0,0,6.027151
0.8368,-3.8160,-10.9080,2.096981e-02,-1.6784,0,0,6.064010
0.8368,-3.6068,-10.8034,2.062539e-02,-1.6856,0,0,6.039794
0.8368,-3.3976,-10.6988,2.045098e-02,-1.6893,0,0,6.043854
0.8368,-3.1884,-10.5942,2.099275e-02,-1.6779,0,0,6.064929
0.8368,-2.9792,-10.4896,2.061080e-02,-1.6859,0,0,6.021549
0.8368,-2.7700,-10.3850,2.043052e-02,-1.6897,0,0,6.081550
0.8368,-2.5608,-10.2804,2.097524e-02,-1.6783,0,0,6.021564
0.8368,-2.3516,-10.1758,2.074975e-02,-1.6830,0,0,6.070663
0.8368,-2.1424,-10.0712,2.063064e-02,-1.6855,0,0,6.050662
0.8368,-1.9332,-9.9666,2.101381e-02,-1.6775,0,0,6.035080
0.8368,-1.7240,-9.8620,2.074929e-02,-1.6830,0,0,6.093173
0.8368,-1.5148,-9.7574,2.065385e-02,-1.6850,0,0,6.002260
0.8368,-1.3056,-9.6528,2.098728e-02,-1.6780,0,0,6.127430
0.8368,-1.0964,-9.5482,2.102215e-02,-1.6773,0,0,5.995835
0.8368,-0.8872,-9.4436,2.057621e-02,-1.6866,0,0,6.144078
0.8368,-0.6780,-9.3390,2.717285e-02,-1.5659,0,0,6.015165
0.8368,-0.4688,-9.2344,3.682834e-02,-1.4338,0,0,6.141338
0.8368,-0.2596,-9.1298,5.506419e-02,-1.2591,0,0,6.071109
0.8368,-0.0504,-9.0252,5.531396e-02,-1.2572,0,0,6.052372
